機關資料,,,,,,,,,,,,,,,
機關代碼,3.97.5.33,,,,,,,,,,,,,,
機關名稱,高雄市立海青高級工商職業學校,,,,,,,,,,,,,,
單位名稱,高雄市立海青高級工商職業學校,,,,,,,,,,,,,,
機關地址,"813
				
				
				高雄市
				左營區
				左營大路一號",,,,,,,,,,,,,,
聯絡人,潘為禪,,,,,,,,,,,,,,
聯絡電話,"(07)
				
				
					5819155
				
				
					#532",,,,,,,,,,,,,,
傳真號碼,"(07)
				
				
					5818790",,,,,,,,,,,,,,
電子郵件信箱,d9033720@hcvs.kh.edu.tw,,,,,,,,,,,,,,
採購資料,,,,,,,,,,,,,,,
標案案號,C113011,,,,,,,,,,,,,,
標案名稱,人工智慧AI開發套件21套,,,,,,,,,,,,,,
標的分類,財物類452 - 計算機及其零件與配件,,,,,,,,,,,,,,
財物採購性質,"買受,定製",,,,,,,,,,,,,,
採購金額級距,未達公告金額,,,,,,,,,,,,,,
辦理方式,自辦,,,,,,,,,,,,,,
依據法條,採購法第49條,,,,,,,,,,,,,,
本採購是否屬「具敏感性或國安(含資安)疑慮之業務範疇」採購,否,,,,,,,,,,,,,,
本採購是否屬「涉及國家安全」採購,否,,,,,,,,,,,,,,
預算金額,"336,000元",,,,,,,,,,,,,,
預算金額是否公開,是,,,,,,,,,,,,,,
後續擴充,否,,,,,,,,,,,,,,
是否受機關補助,"是補助機關A.9.3教育部國民及學前教育署補助金額336,000元",,,,,,,,,,,,,,
是否為政策及業務宣導業務,否,,,,,,,,,,,,,,
招標資料,,,,,,,,,,,,,,,
招標方式,公開取得報價單或企劃書,,,,,,,,,,,,,,
決標方式,最低標,最低標,,,,,,,,,,,,,
最低標,,,,,,,,,,,,,,,
是否依政府採購法施行細則第64條之2辦理,否,,,,,,,,,,,,,,
是否電子報價,否,,,,,,,,,,,,,,
新增公告傳輸次數,01,,,,,,,,,,,,,,
招標狀態,第一次公開取得,,,,,,,,,,,,,,
公告日,113/05/10,,,,,,,,,,,,,,
是否複數決標,否,,,,,,,,,,,,,,
是否訂有底價,是,,,,,,,,,,,,,,
是否屬特殊採購,否,,,,,,,,,,,,,,
是否已辦理公開閱覽,否,,,,,,,,,,,,,,
是否屬統包,否,,,,,,,,,,,,,,
本案完成後所應達到之功能、效益、標準、品質或特性,,,,,,,,,,,,,,,
是否屬共同供應契約採購,否,,,,,,,,,,,,,,
是否屬二以上機關之聯合採購(不適用共同供應契約規定),否,,,,,,,,,,,,,,
是否應依公共工程專業技師簽證規則實施技師簽證,否,,,,,,,,,,,,,,
是否採行協商措施,否,,,,,,,,,,,,,,
是否適用採購法第104條或105條或招標期限標準第10條或第4條之1,否,,,,,,,,,,,,,,
是否依據採購法第106條第1項第1款辦理,否,,,,,,,,,,,,,,
最低標,,,,,,,,,,,,,,,
領投開標,,,,,,,,,,,,,,,
是否提供電子領標,是機關文件費(機關實收)0元系統使用費20元文件代收費0元總計20元是否提供現場領標：是招標文件領取地點813高雄市左營區左營大路一號傳達室招標文件售價及付款方式免費投標須知下載,,,,,,,,,,,,,,
是否提供電子投標,是,,,,,,,,,,,,,,
截止投標,113/05/14 17:00,,,,,,,,,,,,,,
開標時間,113/05/15 09:00,,,,,,,,,,,,,,
開標地點,本校教學大樓3樓會議室,,,,,,,,,,,,,,
是否須繳納押標金,否,,,,,,,,,,,,,,
投標文字,正體中文,,,,,,,,,,,,,,
收受投標文件地點,813高雄市左營區左營大路一號總務處經營組,,,,,,,,,,,,,,
其他,,,,,,,,,,,,,,,
是否依據採購法第99條,否,,,,,,,,,,,,,,
是否於招標文件載明優先決標予身心障礙福利機構團體或庇護工場,否,,,,,,,,,,,,,,
身心障礙福利機構團體或庇護工場生產物品及服務,項目 :分類 :,,,,,,,,,,,,,,
履約地點,高雄市(非原住民地區),,,,,,,,,,,,,,
履約期限,簽約之次日起算30個日曆天內,,,,,,,,,,,,,,
是否刊登公報,否,,,,,,,,,,,,,,
本案採購契約是否採用主管機關訂定之範本,是,,,,,,,,,,,,,,
契約是否訂有依物價指數調整價金規定,否，招標文件未訂物價指數調整條款履約時間短,,,,,,,,,,,,,,
廠商資格摘要,除上述外之其他資格(一)廠商登記或設立之證明。(二)廠商納稅之證明。營業稅或所得稅等。(三)廠商信用之證明：如票據交換機構或受理查詢之金融機構於截止投標日之前半年內所出具之非拒絕往來戶及最近三年內無退票紀錄證明、或金融機構或徵信機構出具之信用證明等。(四)(四)投標廠商聲明書正本。(五)產品型錄正本或規格說明書(如影本請蓋與正本相符章)並註明廠牌及規範說明（規格部分請以色筆標示；參加投標之貨品如為外國產品，應加註規格編號及翻譯為中文，不得為投標廠商自行製作之型錄）。,,,,,,,,,,,,,,
確認無資格限制競爭情形,是,,,,,,,,,,,,,,
是否訂有與履約能力有關之基本資格,是廠商應附具之基本資格證明文件或物品：【須於招標文件載明者為限】資格項目附加說明廠商信用之證明如票據交換機構或受理查詢之金融機構於截止投標日之前半年內所出具之非拒絕往來戶及最近三年內無退票紀錄證明、會計師簽證之財務報表或金融機構或徵信機構出具之信用證明等廠商具有製造、供應或承做能力之證明廠商具有如期履約能力之證明廠商或其受雇人、從業人員具有專門技能之證明廠商具有維修、維護或售後服務能力之證明其他法令規定或經主管機關認定者,資格項目,附加說明,廠商信用之證明,如票據交換機構或受理查詢之金融機構於截止投標日之前半年內所出具之非拒絕往來戶及最近三年內無退票紀錄證明、會計師簽證之財務報表或金融機構或徵信機構出具之信用證明等,廠商具有製造、供應或承做能力之證明,,廠商具有如期履約能力之證明,,廠商或其受雇人、從業人員具有專門技能之證明,,廠商具有維修、維護或售後服務能力之證明,,其他法令規定或經主管機關認定者,
資格項目,附加說明,,,,,,,,,,,,,,
廠商信用之證明,如票據交換機構或受理查詢之金融機構於截止投標日之前半年內所出具之非拒絕往來戶及最近三年內無退票紀錄證明、會計師簽證之財務報表或金融機構或徵信機構出具之信用證明等,,,,,,,,,,,,,,
廠商具有製造、供應或承做能力之證明,,,,,,,,,,,,,,,
廠商具有如期履約能力之證明,,,,,,,,,,,,,,,
廠商或其受雇人、從業人員具有專門技能之證明,,,,,,,,,,,,,,,
廠商具有維修、維護或售後服務能力之證明,,,,,,,,,,,,,,,
其他法令規定或經主管機關認定者,,,,,,,,,,,,,,,
附加說明,"未達公告金額之採購，爭議屬政府採購法第31條規定不予發還或追繳押標金之爭議，始得提出申訴。(一)開標時，投標廠商應由負責人或攜帶委託代理授權書之代理人，攜帶身分證件、印章及出席證明按照開標時間及地點參加開標，並依本校要求出示之。請廠商於招標文件所定開標時間派員到指定之開標場所，以備依本法第51條、第53條、第54條或第57條辦理時提出說明、減價、比減價格、協商、更改原報內容或重新報價，未派員或逾開標時間30分鐘後到場者，視同放棄。
(二)合約正本及副本應由得標者自行製作（本校僅提供完整內容1份），其費用均包含在合約總價內由廠商自理，不另給價。
(三)投標廠商因投標所需之任何費用，不論有無決標，均由投標廠商自行負擔。
(四)最低標標價本校認為屬筆誤或顯著錯誤（不合理）或其他特殊情形，得不決標予該廠商，並以次低標廠商為最低標廠商
(五)得標廠商應於決標日之次日起10日內至本校辦理簽訂契約手續；未經本校同意而逾期不辦理簽約者，將依採購法相關規定辦理。
(六)前條得標後不簽約承攬之案件，本校得以原決標價依決標前各投標廠商標價之順序，自標價低者起，依序洽其他合於招標文件規定之未得標廠商減至該決標價後決標，或重行辦理招標
(七)截止投標日或開標日期若遇颱風來襲(或其他天然災害)並經高雄市政府宣佈，則截止投標日與開標日均順延至次一辦公日。
(八)高雄市政府政風處檢舉電話：0800025025、傳真：（07）3313655、檢舉信箱：高雄市郵政2299號信箱、E-mail：eth@kcg.gov.tw、地址：高雄市苓雅區四維三路2號2。",未達公告金額之採購，爭議屬政府採購法第31條規定不予發還或追繳押標金之爭議，始得提出申訴。,"(一)開標時，投標廠商應由負責人或攜帶委託代理授權書之代理人，攜帶身分證件、印章及出席證明按照開標時間及地點參加開標，並依本校要求出示之。請廠商於招標文件所定開標時間派員到指定之開標場所，以備依本法第51條、第53條、第54條或第57條辦理時提出說明、減價、比減價格、協商、更改原報內容或重新報價，未派員或逾開標時間30分鐘後到場者，視同放棄。
(二)合約正本及副本應由得標者自行製作（本校僅提供完整內容1份），其費用均包含在合約總價內由廠商自理，不另給價。
(三)投標廠商因投標所需之任何費用，不論有無決標，均由投標廠商自行負擔。
(四)最低標標價本校認為屬筆誤或顯著錯誤（不合理）或其他特殊情形，得不決標予該廠商，並以次低標廠商為最低標廠商
(五)得標廠商應於決標日之次日起10日內至本校辦理簽訂契約手續；未經本校同意而逾期不辦理簽約者，將依採購法相關規定辦理。
(六)前條得標後不簽約承攬之案件，本校得以原決標價依決標前各投標廠商標價之順序，自標價低者起，依序洽其他合於招標文件規定之未得標廠商減至該決標價後決標，或重行辦理招標
(七)截止投標日或開標日期若遇颱風來襲(或其他天然災害)並經高雄市政府宣佈，則截止投標日與開標日均順延至次一辦公日。
(八)高雄市政府政風處檢舉電話：0800025025、傳真：（07）3313655、檢舉信箱：高雄市郵政2299號信箱、E-mail：eth@kcg.gov.tw、地址：高雄市苓雅區四維三路2號2。",,,,,,,,,,,,
未達公告金額之採購，爭議屬政府採購法第31條規定不予發還或追繳押標金之爭議，始得提出申訴。,,,,,,,,,,,,,,,
