機關資料,,,,,,,,,,,,,,,
機關代碼,3.10.94.29,,,,,,,,,,,,,,
機關名稱,聖母醫護管理專科學校,,,,,,,,,,,,,,
單位名稱,總務處事務組,,,,,,,,,,,,,,
機關地址,"266
				
				
				宜蘭縣
				三星鄉
				三星路二段265巷100號",,,,,,,,,,,,,,
聯絡人,李盈青,,,,,,,,,,,,,,
聯絡電話,"(03)
				
				
					9897396
				
				
					#420",,,,,,,,,,,,,,
傳真號碼,"(03)
				
				
					9897395",,,,,,,,,,,,,,
電子郵件信箱,lyc@smc.edu.tw,,,,,,,,,,,,,,
採購資料,,,,,,,,,,,,,,,
標案案號,B13007,,,,,,,,,,,,,,
標案名稱,長照科AI專業教學設備,,,,,,,,,,,,,,
標的分類,"財物類481 - 醫療, 外科及矯形設備",,,,,,,,,,,,,,
財物採購性質,"買受,定製",,,,,,,,,,,,,,
採購金額級距,未達公告金額,,,,,,,,,,,,,,
法人團體辦理適用採購法案件之依據法條,採購法第4條,,,,,,,,,,,,,,
辦理方式,補助,,,,,,,,,,,,,,
依據法條,採購法第49條,,,,,,,,,,,,,,
本採購是否屬「具敏感性或國安(含資安)疑慮之業務範疇」採購,否,,,,,,,,,,,,,,
本採購是否屬「涉及國家安全」採購,否,,,,,,,,,,,,,,
預算金額,"893,000元",,,,,,,,,,,,,,
預算金額是否公開,是,,,,,,,,,,,,,,
後續擴充,是依政府採購法第22條第1項第7款，須敘明後續擴充之期間、金額或數量：本校保留未來一年內向得標廠商以單價分析表相同價格(含以下)增購之權利。,,,,,,,,,,,,,,
是否受機關補助,"是補助機關3.9教育部補助金額893,000元",,,,,,,,,,,,,,
是否為政策及業務宣導業務,否,,,,,,,,,,,,,,
招標資料,,,,,,,,,,,,,,,
招標方式,公開取得報價單或企劃書,,,,,,,,,,,,,,
決標方式,最低標,最低標,,,,,,,,,,,,,
最低標,,,,,,,,,,,,,,,
是否依政府採購法施行細則第64條之2辦理,否,,,,,,,,,,,,,,
是否電子報價,否,,,,,,,,,,,,,,
新增公告傳輸次數,01,,,,,,,,,,,,,,
招標狀態,第一次公開取得,,,,,,,,,,,,,,
公告日,113/04/11,,,,,,,,,,,,,,
是否複數決標,否,,,,,,,,,,,,,,
是否訂有底價,是,,,,,,,,,,,,,,
是否屬特殊採購,否,,,,,,,,,,,,,,
是否已辦理公開閱覽,否,,,,,,,,,,,,,,
是否屬統包,否,,,,,,,,,,,,,,
本案完成後所應達到之功能、效益、標準、品質或特性,,,,,,,,,,,,,,,
是否屬共同供應契約採購,否,,,,,,,,,,,,,,
是否屬二以上機關之聯合採購(不適用共同供應契約規定),否,,,,,,,,,,,,,,
是否應依公共工程專業技師簽證規則實施技師簽證,否,,,,,,,,,,,,,,
是否採行協商措施,否,,,,,,,,,,,,,,
是否適用採購法第104條或105條或招標期限標準第10條或第4條之1,否,,,,,,,,,,,,,,
是否依據採購法第106條第1項第1款辦理,否,,,,,,,,,,,,,,
最低標,,,,,,,,,,,,,,,
領投開標,,,,,,,,,,,,,,,
是否提供電子領標,是機關文件費(機關實收)0元系統使用費20元文件代收費0元總計20元是否提供現場領標：是招標文件領取地點266宜蘭縣三星鄉三星路二段265巷100號招標文件售價及付款方式文件300元，至本校三星校區總務處出納組繳納投標須知下載,,,,,,,,,,,,,,
是否提供電子投標,否,,,,,,,,,,,,,,
截止投標,113/04/17 15:00,,,,,,,,,,,,,,
開標時間,113/04/17 15:30,,,,,,,,,,,,,,
開標地點,266003宜蘭縣三星鄉三星路二段265巷100號聖母醫護管理專科學校校史室,,,,,,,,,,,,,,
是否須繳納押標金,是，尚未提供廠商線上繳納押標金押標金額度：投標金額百分之五,,,,,,,,,,,,,,
投標文字,正體中文,,,,,,,,,,,,,,
收受投標文件地點,266003宜蘭縣三星鄉三星路二段265巷100號,,,,,,,,,,,,,,
其他,,,,,,,,,,,,,,,
是否依據採購法第99條,否,,,,,,,,,,,,,,
是否於招標文件載明優先決標予身心障礙福利機構團體或庇護工場,否,,,,,,,,,,,,,,
身心障礙福利機構團體或庇護工場生產物品及服務,項目 :分類 :,,,,,,,,,,,,,,
