機關資料,,,,,,,,,
機關代碼,33503904,,,,,,,,
機關名稱,南山學校財團法人新北市南山高級中學,,,,,,,,
單位名稱,總務處,,,,,,,,
機關地址,"235
				
				
				新北市
				中和區
				廣福路41號",,,,,,,,
聯絡人,張文俊,,,,,,,,
聯絡電話,"(02)
				
				
					22453000
				
				
					#143",,,,,,,,
傳真號碼,"(02)
				
				
					22405840",,,,,,,,
電子郵件信箱,jimmy@nssh.ntpc.edu.tw,,,,,,,,
採購資料,,,,,,,,,
標案案號,NSSH113050203,,,,,,,,
標案名稱,AILEAD 365線上教學平台2年使用權採購案,,,,,,,,
標的分類,勞務類842 - 軟體執行服務,,,,,,,,
財物採購性質,非屬財物之工程或勞務,,,,,,,,
採購金額級距,未達公告金額,,,,,,,,
法人團體辦理適用採購法案件之依據法條,採購法第4條,,,,,,,,
辦理方式,補助,,,,,,,,
依據法條,採購法第49條,,,,,,,,
本採購是否屬「具敏感性或國安(含資安)疑慮之業務範疇」採購,否,,,,,,,,
本採購是否屬「涉及國家安全」採購,否,,,,,,,,
預算金額是否公開,否,,,,,,,,
後續擴充,否,,,,,,,,
是否受機關補助,是補助機關3.82.4新北市政府教育局,,,,,,,,
是否為政策及業務宣導業務,否,,,,,,,,
招標資料,,,,,,,,,
招標方式,公開取得報價單或企劃書,,,,,,,,
決標方式,最低標,最低標,,,,,,,
最低標,,,,,,,,,
是否依政府採購法施行細則第64條之2辦理,否,,,,,,,,
是否電子報價,否,,,,,,,,
新增公告傳輸次數,01,,,,,,,,
招標狀態,第一次公開取得,,,,,,,,
公告日,113/05/02,,,,,,,,
是否複數決標,否,,,,,,,,
是否訂有底價,是,,,,,,,,
是否屬特殊採購,否,,,,,,,,
是否已辦理公開閱覽,否,,,,,,,,
是否屬統包,否,,,,,,,,
本案完成後所應達到之功能、效益、標準、品質或特性,,,,,,,,,
是否屬共同供應契約採購,否,,,,,,,,
是否屬二以上機關之聯合採購(不適用共同供應契約規定),否,,,,,,,,
是否應依公共工程專業技師簽證規則實施技師簽證,否,,,,,,,,
是否採行協商措施,否,,,,,,,,
是否適用採購法第104條或105條或招標期限標準第10條或第4條之1,否,,,,,,,,
是否依據採購法第106條第1項第1款辦理,否,,,,,,,,
最低標,,,,,,,,,
領投開標,,,,,,,,,
是否提供電子領標,是機關文件費(機關實收)0元系統使用費20元文件代收費0元總計20元是否提供現場領標：否投標須知下載,,,,,,,,
是否提供電子投標,否,,,,,,,,
截止投標,113/05/06 17:00,,,,,,,,
開標時間,113/05/07 10:00,,,,,,,,
開標地點,南山高中會議室,,,,,,,,
是否須繳納押標金,否,,,,,,,,
是否須繳納履約保證金,否,,,,,,,,
投標文字,正體中文,,,,,,,,
收受投標文件地點,235新北市中和區廣福路41號,,,,,,,,
其他,,,,,,,,,
是否依據採購法第99條,否,,,,,,,,
是否於招標文件載明優先決標予身心障礙福利機構團體或庇護工場,否,,,,,,,,
身心障礙福利機構團體或庇護工場生產物品及服務,項目 :分類 :,,,,,,,,
履約地點,新北市(非原住民地區),,,,,,,,
履約期限,113/05/17,,,,,,,,
是否刊登公報,否,,,,,,,,
本案採購契約是否採用主管機關訂定之範本,是,,,,,,,,
契約是否訂有依物價指數調整價金規定,否，招標文件未訂物價指數調整條款履約時間短,,,,,,,,
廠商資格摘要,廠商登記或設立之證明投標廠商之基本資格須符合以下任一資格：具公司登記具商業登記廠商納稅之證明。如營業稅或所得稅除上述外之其他資格資訊軟體服務業、資料處理服務業或與本案相關之行業。,,,,,,,,
是否訂有與履約能力有關之基本資格,否,,,,,,,,
附加說明,未達公告金額之採購，爭議屬政府採購法第31條規定不予發還或追繳押標金之爭議，始得提出申訴。,未達公告金額之採購，爭議屬政府採購法第31條規定不予發還或追繳押標金之爭議，始得提出申訴。,,,,,,,
未達公告金額之採購，爭議屬政府採購法第31條規定不予發還或追繳押標金之爭議，始得提出申訴。,,,,,,,,,
是否刊登英文公告,否,,,,,,,,
疑義、異議、申訴及檢舉受理單位,"疑義、異議受理單位南山學校財團法人新北市南山高級中學申訴受理單位新北市政府採購申訴審議委員會-(地址：220新北市板橋區中山路1段161號27樓、電話：02-29603456分機4246、傳真：02-89536837)檢舉受理單位法務部調查局-(地址：231新北市新店區中華路74號;新店郵政60000號信箱、電話：02-29177777、傳真：02-29188888)
中央採購稽核小組-(地址：110臺北市信義區松仁路3號9樓、電話：02-87897548、傳真：02-87897554)
新北市調查處-(地址：220新北市板橋區漢生東路193巷2號;板橋郵政60000號信箱、電話：02-29628888)
地方政府-新北市政府採購稽核小組-(地址：220新北市板橋區中山路一段161號13樓、電話：0800039688、傳真：02-29682824)
法務部廉政署-(地址：100臺北市中正區博愛路166號;100006國史館郵局第153號信箱、電話：0800286586、傳真：02-23811234)",疑義、異議受理單位,南山學校財團法人新北市南山高級中學,,申訴受理單位,新北市政府採購申訴審議委員會-(地址：220新北市板橋區中山路1段161號27樓、電話：02-29603456分機4246、傳真：02-89536837),,檢舉受理單位,"法務部調查局-(地址：231新北市新店區中華路74號;新店郵政60000號信箱、電話：02-29177777、傳真：02-29188888)
中央採購稽核小組-(地址：110臺北市信義區松仁路3號9樓、電話：02-87897548、傳真：02-87897554)
新北市調查處-(地址：220新北市板橋區漢生東路193巷2號;板橋郵政60000號信箱、電話：02-29628888)
地方政府-新北市政府採購稽核小組-(地址：220新北市板橋區中山路一段161號13樓、電話：0800039688、傳真：02-29682824)
法務部廉政署-(地址：100臺北市中正區博愛路166號;100006國史館郵局第153號信箱、電話：0800286586、傳真：02-23811234)"
疑義、異議受理單位,南山學校財團法人新北市南山高級中學,,,,,,,,
,,,,,,,,,
申訴受理單位,新北市政府採購申訴審議委員會-(地址：220新北市板橋區中山路1段161號27樓、電話：02-29603456分機4246、傳真：02-89536837),,,,,,,,
,,,,,,,,,
檢舉受理單位,"法務部調查局-(地址：231新北市新店區中華路74號;新店郵政60000號信箱、電話：02-29177777、傳真：02-29188888)
中央採購稽核小組-(地址：110臺北市信義區松仁路3號9樓、電話：02-87897548、傳真：02-87897554)
新北市調查處-(地址：220新北市板橋區漢生東路193巷2號;板橋郵政60000號信箱、電話：02-29628888)
地方政府-新北市政府採購稽核小組-(地址：220新北市板橋區中山路一段161號13樓、電話：0800039688、傳真：02-29682824)
法務部廉政署-(地址：100臺北市中正區博愛路166號;100006國史館郵局第153號信箱、電話：0800286586、傳真：02-23811234)",,,,,,,,
未達公告金額之採購，爭議屬政府採購法第31條規定不予發還或追繳押標金之爭議，始得提出申訴。,,,,,,,,,
疑義、異議受理單位,南山學校財團法人新北市南山高級中學,,,,,,,,
,,,,,,,,,
申訴受理單位,新北市政府採購申訴審議委員會-(地址：220新北市板橋區中山路1段161號27樓、電話：02-29603456分機4246、傳真：02-89536837),,,,,,,,
,,,,,,,,,
檢舉受理單位,"法務部調查局-(地址：231新北市新店區中華路74號;新店郵政60000號信箱、電話：02-29177777、傳真：02-29188888)
中央採購稽核小組-(地址：110臺北市信義區松仁路3號9樓、電話：02-87897548、傳真：02-87897554)
新北市調查處-(地址：220新北市板橋區漢生東路193巷2號;板橋郵政60000號信箱、電話：02-29628888)
地方政府-新北市政府採購稽核小組-(地址：220新北市板橋區中山路一段161號13樓、電話：0800039688、傳真：02-29682824)
法務部廉政署-(地址：100臺北市中正區博愛路166號;100006國史館郵局第153號信箱、電話：0800286586、傳真：02-23811234)",,,,,,,,
